"","tickerSymbol","StartDate","EndDate","Nobs","Beginning Prind","Min Price","Max Price","Last price","HPR","Cum Ret","Lweek Ret","Last Month Ret","MA50D","Pabove50dmav","MA200D","Pabove200mav","MA5Yr","PaboveMA5Yr"
"1","AAPL",2015-09-01,2021-09-14,1520,24.691309,21.036303,156.461655,147.904129,499.012911790136,2.0528044232907,-5.55590777055268,-0.321814826506039,147.58835234,0.21395771074979,132.85581024,11.326805152756,"65.9286974712","124.339528419487"
"2","ADBE",2015-09-01,2021-09-14,1520,75.989998,73.849998,666.590027,645.01001,748.809089322518,2.4302105694845,-2.48406415490831,1.75519331116525,631.37900274,2.15892628688084,526.884401095,22.419644358327,"296.8966724712","117.25066994901"
"3","ADI",2015-09-01,2021-09-14,1520,46.861427,43.019196,172.808121,172.808121,268.764103150337,1.60569088254945,6.12559765684983,3.51553602522843,165.24089876,4.57950924788351,155.80488385,10.9131605697096,"101.7665577728","69.8083582484971"
"4","ADP",2015-09-01,2021-09-14,1520,65.404831,65.404831,215.737457,199.740005,205.390292958635,1.31126628414657,-0.765451972740572,-6.72664813153372,206.89852634,-3.45991895961417,187.19489953,6.70162782292556,"135.7472926704","47.1410597373584"
"5","ADSK",2015-09-01,2021-09-14,1520,45.490002,42.639999,342.269989,279.350006,514.090995203737,2.22963323447235,-2.84207387960052,-16.5447196031226,311.12319948,-10.2124153817859,293.16644972,-4.71283249948824,"168.9248881344","65.3693597699728"
"6","AEP",2015-09-01,2021-09-14,1520,42.718178,42.355404,98.195641,87.013466,103.691894349988,0.847813023064691,-1.18365950495486,-1.17992894705981,87.15619394,-0.163761097803627,82.66656721,5.25835163683217,"71.922758556","20.9818251510058"
"7","ALGN",2015-09-01,2021-09-14,1520,53.939999,53.939999,729.919983,706.450012,1209.69600499993,3.2136316188437,-1.33823510973898,0.505368926191241,673.47440064,4.89634221117587,590.69595247,19.5962168093371,"292.504200296","141.517903430141"
"8","AMAT",2015-09-01,2021-09-14,1520,14.216511,13.18859,142.309845,139.914154,884.166607404587,2.77287469129292,2.69649093025657,8.54584749118793,134.81429394,3.78287784696609,120.60397083,16.0112333259898,"57.8367637144","141.912142060543"
"9","AMD",2015-09-01,2021-09-14,1520,1.71,1.66,118.769997,105.730003,6083.04111111111,5.24787257915891,-3.13680792082643,-0.318998471283671,101.8744001,3.78466316976132,89.23845009,18.4803219838172,"38.1402000024","177.214075944402"
"10","AMGN",2015-09-01,2021-09-14,1520,123.745338,110.973022,253.232697,214.241287,73.130794632441,0.748421485104008,-2.38058598845027,-4.54932835414817,230.69851534,-7.13365160401903,233.24844598,-8.14888986725759,"185.861985144","15.269019016456"
"11","AMZN",2015-09-01,2021-09-14,1520,496.540009,482.070007,3731.409912,3450,594.808059263559,2.20274759756732,-1.69421539055014,4.44832743432468,3465.05579584,-0.434503705772227,3296.901091265,4.64372161908735,"1933.743933968","78.4103851289491"
"12","ANSS",2015-09-01,2021-09-14,1520,86.57,81.919998,403.600006,369.070007,326.325525008663,1.70738631107103,-0.786757808949401,1.63132249636627,362.34439878,1.85613693564599,352.961199655,4.56390316010526,"212.2284638896","73.9022185035406"
"13","ASML",2015-09-01,2021-09-14,1520,83.890427,72.891327,885.766968,885.766968,955.861794576394,2.6970417613393,3.03922174124419,13.0206643247147,771.64027346,14.7901423066296,629.308566165,40.7524091715222,"275.3905953264","221.640238640018"
"14","ATVI",2015-09-01,2021-09-14,1520,26.80142,26.80142,103.309784,77.839996,190.432357688511,1.41087783669475,-0.705796908698286,-8.76950591316062,85.23080034,-8.671518172441,90.75217376,-14.2279542461948,"64.0391048904","21.5507245662156"
"15","AVGO",2015-09-01,2021-09-14,1520,98.527863,93.91024,498.218719,498.218719,405.662767698514,1.99358044499373,1.06504896093765,3.67477054306498,479.74630124,3.85045548287801,454.99406843,9.50004704877818,"270.4847689944","84.1947407435407"
"16","BIDU",2015-09-01,2021-09-14,1520,143.570007,83.620003,339.910004,160.520004,11.8060849575636,0.596900759185485,-3.71874921261243,1.53167349411897,165.23019938,-2.85068673745734,206.27300013,-22.1807973419522,"178.1625603328","-9.90250493697692"
"17","BIIB",2015-09-01,2021-09-14,1520,292.5,216.710007,414.709991,295.950012,1.17949128205128,0.611462516958081,-9.78070620097342,-13.6837358402681,336.48079894,-12.0454977127023,294.243099415,0.580102842987174,"290.6534238984","1.82230370128085"
"18","BKNG",2015-09-01,2021-09-14,1520,1215.359985,973.799988,2505.100098,2328.659912,91.6024832757679,0.964650162067107,-0.414891419957719,6.26091928704816,2205.2659961,5.59542096591621,2237.78485169,4.06093821939004,"1883.2190100552","23.6531651160288"
"19","CDNS",2015-09-01,2021-09-14,1520,19.719999,18.66,166.869995,164.929993,736.359033283927,2.40307269708151,-0.0185489879312439,8.14310799261665,150.54539974,9.55498692410592,136.504049965,20.8242488353191,"68.5200239624","140.703349856539"
"20","CDW",2015-09-01,2021-09-14,1520,35.83424,31.50621,202.742004,192.986938,438.554572386634,1.95258839897461,-3.91646629789993,-2.00209984303711,188.09381108,2.60142898477338,163.30599721,18.1750464141451,"98.8166957136","95.2979064988504"
"21","CERN",2015-09-01,2021-09-14,1520,58.254902,46.092113,82.566284,73.697746,26.5090893123466,0.419301350045789,-2.48851405903283,-7.26141543344829,78.12698752,-5.66928491754036,76.11500168,-3.17579403093565,"65.0682410208","13.2622379886394"
